"property","value"
"version","1.1.16"
"build","1011602"
"fileFormat","1.18"
"deviceModel","Nokia G21"
"deviceBrand","Nokia"
"deviceBoard","ShadowcatPlus"
"deviceManufacturer","HMD Global"
"deviceBaseOS","Nokia/ShadowcatPlus_00WW/SCPA_sprout:13/TP1A.220624.014/00WW_3_530:user/release-keys"
"deviceCodename","REL"
"deviceRelease","13"
"depthFrontSensor","0"
"depthFrontResolution","null"
"depthFrontRate","null"
"depthBackSensor","0"
"depthBackResolution","null"
"depthBackRate","null"
"accelerometer Name","Accelerometer Sensor"
"accelerometer Vendor","Sprd Group Ltd."
"accelerometer Range","78.4532"
"accelerometer Resolution","0.0023942017"
"accelerometer MinDelay","2500"
"accelerometer MaxDelay","320000"
"accelerometer Power","0.17"
"accelerometer Version","1"
"linear_acceleration Name","null"
"linear_acceleration Vendor","null"
"linear_acceleration Range","null"
"linear_acceleration Resolution","null"
"linear_acceleration MinDelay","null"
"linear_acceleration MaxDelay","null"
"linear_acceleration Power","null"
"linear_acceleration Version","null"
"gravity Name","null"
"gravity Vendor","null"
"gravity Range","null"
"gravity Resolution","null"
"gravity MinDelay","null"
"gravity MaxDelay","null"
"gravity Power","null"
"gravity Version","null"
"gyroscope Name","null"
"gyroscope Vendor","null"
"gyroscope Range","null"
"gyroscope Resolution","null"
"gyroscope MinDelay","null"
"gyroscope MaxDelay","null"
"gyroscope Power","null"
"gyroscope Version","null"
"magnetic_field Name","null"
"magnetic_field Vendor","null"
"magnetic_field Range","null"
"magnetic_field Resolution","null"
"magnetic_field MinDelay","null"
"magnetic_field MaxDelay","null"
"magnetic_field Power","null"
"magnetic_field Version","null"
"pressure Name","null"
"pressure Vendor","null"
"pressure Range","null"
"pressure Resolution","null"
"pressure MinDelay","null"
"pressure MaxDelay","null"
"pressure Power","null"
"pressure Version","null"
"light Name","Light Sensor"
"light Vendor","Sprd Group Ltd."
"light Range","10240.0"
"light Resolution","1.0"
"light MinDelay","0"
"light MaxDelay","0"
"light Power","0.15"
"light Version","1"
"proximity Name","Proximity Sensor"
"proximity Vendor","Sprd Group Ltd."
"proximity Range","5.0"
"proximity Resolution","1.0"
"proximity MinDelay","0"
"proximity MaxDelay","0"
"proximity Power","0.15"
"proximity Version","1"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","null"
"attitude Vendor","null"
"attitude Range","null"
"attitude Resolution","null"
"attitude MinDelay","null"
"attitude MaxDelay","null"
"attitude Power","null"
"attitude Version","null"
